"filename", "language", "JavaScript", "HTTP", "JSON", "YAML", "comment", "blank", "total"
"d:\NEIL\SistemaHistoriasClinicas\docker-compose.yml", "YAML", 0, 0, 0, -13, 0, -1, -14
"d:\NEIL\SistemaHistoriasClinicas\package-lock.json", "JSON", 0, 0, -6026, 0, 0, -1, -6027
"d:\NEIL\SistemaHistoriasClinicas\package.json", "JSON", 0, 0, -42, 0, 0, -1, -43
"d:\NEIL\SistemaHistoriasClinicas\server\auth\index.js", "JavaScript", -5, 0, 0, 0, -2, -3, -10
"d:\NEIL\SistemaHistoriasClinicas\server\auth\strategies\jwt.js", "JavaScript", -10, 0, 0, 0, -1, -5, -16
"d:\NEIL\SistemaHistoriasClinicas\server\auth\strategies\local.strategy.js", "JavaScript", -18, 0, 0, 0, -2, -5, -25
"d:\NEIL\SistemaHistoriasClinicas\server\config\config.js", "JavaScript", -14, 0, 0, 0, -4, -3, -21
"d:\NEIL\SistemaHistoriasClinicas\server\db\config.js", "JavaScript", -16, 0, 0, 0, 0, -2, -18
"d:\NEIL\SistemaHistoriasClinicas\server\db\migrations\20230310173458-modulo-admin.js", "JavaScript", -184, 0, 0, 0, -5, -2, -191
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\antecedenteFamiliar.model.js", "JavaScript", -45, 0, 0, 0, -1, -6, -52
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\antecedentePersonal.model.js", "JavaScript", -87, 0, 0, 0, -3, -6, -96
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\cita.model.js", "JavaScript", -106, 0, 0, 0, 0, -7, -113
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\composicionFamiliar.model.js", "JavaScript", -61, 0, 0, 0, -3, -6, -70
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\doctor.model.js", "JavaScript", -67, 0, 0, 0, -1, -7, -75
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisica.model.js", "JavaScript", -281, 0, 0, 0, -5, -7, -293
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisicaModels\abdomen.model.js", "JavaScript", -39, 0, 0, 0, -3, -6, -48
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisicaModels\boca.model.js", "JavaScript", -49, 0, 0, 0, -3, -6, -58
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisicaModels\columna.model.js", "JavaScript", -39, 0, 0, 0, -3, -6, -48
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisicaModels\craneoFacial.model.js", "JavaScript", -50, 0, 0, 0, -3, -6, -59
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisicaModels\cuello.model.js", "JavaScript", -40, 0, 0, 0, -3, -6, -49
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisicaModels\exNeurologico.model.js", "JavaScript", -43, 0, 0, 0, -3, -6, -52
"d:\NEIL\SistemaHistoriasClinicas\server\db\models\exploracionFisicaModels\genitalesEx.model.js", "JavaScript", -52, 0, 0, 0, -3, -6, -61
