"filename", "language", "JavaScript JSX", "JavaScript", "XML", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\.eslintrc.cjs", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 2, 21
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\index.html", "HTML", 0, 0, 0, 0, 0, 29, 0, 1, 30
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\package-lock.json", "JSON", 0, 0, 0, 0, 4033, 0, 0, 1, 4034
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 1, 40
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\App.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\components\Modal.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 1, 3, 36
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\components\TablePagination.jsx", "JavaScript JSX", 247, 0, 0, 0, 0, 0, 0, 5, 252
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\context\UserProfileContext.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 1, 7, 35
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\index.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\AdminLayout.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\DoctorLayout.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\PersonalAdminLayout.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\SitioLayout.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\BarChart01.jsx", "JavaScript JSX", 186, 0, 0, 0, 0, 0, 8, 11, 205
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\BarChart02.jsx", "JavaScript JSX", 124, 0, 0, 0, 0, 0, 3, 10, 137
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\BarChart03.jsx", "JavaScript JSX", 148, 0, 0, 0, 0, 0, 6, 12, 166
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\ChartjsConfig.jsx", "JavaScript JSX", 61, 0, 0, 0, 0, 0, 6, 5, 72
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\DoughnutChart.jsx", "JavaScript JSX", 123, 0, 0, 0, 0, 0, 8, 10, 141
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\LineChart01.jsx", "JavaScript JSX", 90, 0, 0, 0, 0, 0, 3, 10, 103
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\LineChart02.jsx", "JavaScript JSX", 174, 0, 0, 0, 0, 0, 9, 10, 193
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\charts\RealtimeChart.jsx", "JavaScript JSX", 145, 0, 0, 0, 0, 0, 4, 12, 161
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\css\additional-styles\Modal.css", "CSS", 0, 0, 0, 75, 0, 0, 1, 8, 84
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\css\additional-styles\flatpickr.css", "CSS", 0, 0, 0, 203, 0, 0, 1, 34, 238
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\css\additional-styles\sistema.css", "CSS", 0, 0, 0, 86, 0, 0, 4, 24, 114
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\css\additional-styles\utility-patterns.css", "CSS", 0, 0, 0, 79, 0, 0, 42, 21, 142
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\css\style.css", "CSS", 0, 0, 0, 6, 0, 0, 1, 4, 11
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\css\tailwind.config.js", "JavaScript", 0, 66, 0, 0, 0, 0, 3, 2, 71
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\images\icon-01.svg", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\images\icon-02.svg", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\images\icon-03.svg", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\pages\NavbarLogin.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 3, 38
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\pages\NavbarRecovery.jsx", "JavaScript JSX", 38, 0, 0, 0, 0, 0, 0, 3, 41
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\Banner.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 0, 4, 32
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\Header.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 0, 38, 6, 91
